"district","school","y"
"d2","d2_s3","4.3303161979094558"
"d2","d2_s3","4.4293393376357253"
"d2","d2_s3","5.5674690974135395"
"d2","d2_s3","4.7463891745796811"
"d2","d2_s3","4.2269745118025783"
"d2","d2_s3","3.2671895993646727"
"d2","d2_s3","4.6474905337840795"
"d2","d2_s3","2.342176684020334"
"d2","d2_s3","3.739993965082939"
"d2","d2_s3","3.4372900384629252"
"d2","d2_s3","2.4998216774906403"
"d2","d2_s3","4.7749724171574641"
"d2","d2_s3","3.9983811139094865"
"d2","d2_s3","3.8392779549663771"
"d2","d2_s4","4.2205513705416369"
"d2","d2_s4","3.803197353052286"
"d2","d2_s4","3.5004562078888819"
"d2","d2_s4","4.9904234127424907"
"d2","d2_s4","4.2804715273440745"
"d2","d2_s4","4.6623038742246719"
"d2","d2_s4","4.0852567223027734"
"d2","d2_s4","4.9279952176085322"
"d2","d2_s4","4.0462392118736616"
"d2","d2_s4","4.6226906933238219"
"d2","d2_s4","1.5049429901304725"
"d2","d2_s4","4.1944967634352359"
"d2","d2_s4","3.8222495258689344"
"d2","d2_s4","2.6231438584243003"
"d2","d2_s4","3.7185146571792611"
"d3","d3_s1","6.8075830141574709"
"d3","d3_s1","4.7785960157705158"
"d3","d3_s1","5.0846533004326773"
"d3","d3_s1","6.5461158833550623"
"d3","d3_s1","5.5383642278179863"
"d3","d3_s1","4.3864610717322634"
"d3","d3_s1","6.1833728512638277"
"d3","d3_s1","7.3108449199856373"
"d3","d3_s1","4.7815787556659837"
"d3","d3_s1","6.7671006033673109"
"d3","d3_s1","6.5949831391179243"
"d3","d3_s1","4.7149063984842412"
"d3","d3_s1","3.7651309712327499"
"d3","d3_s1","7.6508484337633185"
"d3","d3_s1","6.0272572483692439"
"d3","d3_s2","6.7241394502300116"
"d3","d3_s2","6.4824781601836188"
"d3","d3_s2","7.7025817791802096"
"d3","d3_s2","6.5251288482716285"
"d3","d3_s2","5.5807376653257359"
"d3","d3_s2","4.2585828523938041"
"d3","d3_s2","5.2444305752766276"
"d3","d3_s2","6.5300530106969799"
"d3","d3_s2","7.0169670448393493"
"d3","d3_s2","7.2679627740725312"
"d3","d3_s2","7.3383815403724206"
"d3","d3_s2","4.6687444544148438"
"d3","d3_s2","5.1931142818436609"
"d3","d3_s2","7.5476203662379824"
"d3","d3_s2","6.9503951309581371"
"d3","d3_s3","6.7320105692453547"
"d3","d3_s3","5.245826754101655"
"d3","d3_s3","6.5422626438472111"
"d3","d3_s3","7.0843969529603701"
"d3","d3_s3","5.6608542435952085"
"d3","d3_s3","5.3760929103843385"
"d3","d3_s3","8.6951797336759604"
"d3","d3_s3","6.4315421602407152"
"d3","d3_s3","6.5529543120341884"
"d3","d3_s3","5.7500846258426552"
"d3","d3_s3","6.4908984259301929"
"d3","d3_s3","5.5685696811348491"
"d3","d3_s3","8.1660787126331478"
"d3","d3_s3","6.8130724253554122"
"d3","d3_s3","5.5609010672859664"
"d3","d3_s4","5.6727547673768397"
"d3","d3_s4","5.3680858799757738"
"d3","d3_s4","5.1563012795725411"
"d3","d3_s4","5.3293964159030756"
"d3","d3_s4","5.6832374939279449"
"d3","d3_s4","5.953591719963863"
"d3","d3_s4","6.8767967965230676"
"d3","d3_s4","4.7752614380419915"
"d3","d3_s4","6.3915510185893289"
"d3","d3_s4","6.9078130343980497"
"d3","d3_s4","5.7920144013500394"
"d3","d3_s4","5.676988563890208"
"d3","d3_s4","4.9743368971194126"
"d3","d3_s4","6.1909155364194453"
"d3","d3_s4","5.3283214613521146"
